City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,date
173,mongo,12.1844,18.693,27.88,62,99,2.41,TD,1727750777,2024-10-01 02:46:17
174,santa cruz,-17.8,-63.1667,28.7,65,35,6.69,BO,1727750547,2024-10-01 02:42:27
175,midvagur,62.0511,-7.1939,7.46,93,100,4.12,FO,1727750779,2024-10-01 02:46:19
176,ankang,32.68,109.0172,16.65,54,100,0.72,CN,1727750780,2024-10-01 02:46:20
177,chernyshevskiy,63.0128,112.4714,3.15,97,100,4.14,RU,1727750781,2024-10-01 02:46:21
178,moramanga,-18.9333,48.2,15.3,92,75,0.77,MG,1727750782,2024-10-01 02:46:22
179,port-gentil,-0.7193,8.7815,24.8,84,100,5.63,GA,1727750783,2024-10-01 02:46:23
180,sabang,5.8933,95.3214,28.32,76,100,4.15,ID,1727750784,2024-10-01 02:46:24
181,hadibu,12.65,54.0333,25.23,83,12,2.43,YE,1727750785,2024-10-01 02:46:25
182,avarua,-21.2078,-159.775,23.03,68,75,2.57,CK,1727750786,2024-10-01 02:46:26
183,ataq,14.5377,46.8319,23.83,67,31,3.19,YE,1727750787,2024-10-01 02:46:27
184,nakhon thai,17.1006,100.8374,26.37,90,99,1.36,TH,1727750788,2024-10-01 02:46:28
185,"laikit, laikit ii (dimembe)",1.4792,124.9735,28.47,70,40,2.06,ID,1727750790,2024-10-01 02:46:30
186,bethel,41.3712,-73.414,15.64,86,0,0.45,US,1727750670,2024-10-01 02:44:30
187,talnakh,69.4865,88.3972,1.75,100,100,3.1,RU,1727750792,2024-10-01 02:46:32
188,prince rupert,54.3161,-130.3201,11.83,82,100,20.58,CA,1727750793,2024-10-01 02:46:33
189,port alfred,-33.5906,26.891,10.1,72,62,2.68,ZA,1727750794,2024-10-01 02:46:34
190,mariehamn,60.0973,19.9348,1.92,100,75,1.54,AX,1727750795,2024-10-01 02:46:35
191,praia da vitoria,38.7333,-27.0667,25.14,83,40,6.25,PT,1727750796,2024-10-01 02:46:36
192,birao,10.2849,22.7882,21.65,91,100,1.63,CF,1727750797,2024-10-01 02:46:37
193,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1727750798,2024-10-01 02:46:38
194,ola,59.5833,151.2833,4.96,45,100,1.0,RU,1727750799,2024-10-01 02:46:39
195,kenora,49.8167,-94.4337,10.54,66,100,5.66,CA,1727750800,2024-10-01 02:46:40
196,el granada,37.5027,-122.4694,23.99,56,75,9.26,US,1727750535,2024-10-01 02:42:15
197,oxapampa,-10.5775,-75.4017,14.05,98,100,1.38,PE,1727750802,2024-10-01 02:46:42
198,sao joao da barra,-21.6403,-41.0511,22.67,89,0,6.58,BR,1727750803,2024-10-01 02:46:43
